state_name,year,surface_water_mean,surface_water_max,surface_water_p25,surface_water_p75,rainfall_annual_mm,rainfall_stddev,rainfall_min,rainfall_max,dry_months_count,rainfall_variability_cv,wettest_month_mm,driest_month_mm
Andaman and Nicobar,2023,91.53248285939105,100,90.00000000000009,96.99999999999996,2414.5358091358744,636.1462327278457,1170.5949632823467,4090.1099417209625,3,79.4,449.1,9.8
Andhra Pradesh,2023,58.370775230297,100,34.99999999999993,84.99999999999996,888.9161472299106,268.55178575299954,274.89754741080105,1590.176485300064,7,105.2,284.5,2.4
Arunachal Pradesh,2023,46.21620972146465,91,29.000000000000014,62.00000000000001,2535.5698354690567,494.78411622541614,1503.305347919464,4356.103842973709,3,84.4,540.7,14.1
Assam,2023,46.037600007443444,99,32.99999999999992,59.99999999999992,2068.61384740048,421.9177020851873,1203.9173164367676,3810.3683347702026,4,82.3,442.3,8.0
Bihar,2023,33.336726170531406,96,13.999999999999662,49.000000000000064,1147.5454670677896,342.1744393551602,656.7832970619202,2456.2191774845123,7,113.6,327.3,0.7
Chandigarh,2023,79.94269340974212,90,84,90,1370.5644903697037,64.90187194948622,1278.0823656320572,1478.6227190494537,5,110.3,371.1,10.4
Chhattisgarh,2023,57.19927364274973,99,36.00000000000014,80.00000000000001,1306.5444153887854,168.63061305700106,757.6566228866577,1712.2811198234558,8,119.8,363.5,8.1
Dadra and Nagar Haveli,2023,79.59831522943914,98,73,92,1921.2558173349166,92.91193991157566,1747.7525706291199,2185.7315378189087,8,200.6,1135.5,0
Daman and Diu,2023,75.48324412380721,100,61.999999999999986,97.99999999999999,843.6670099592449,436.9843586134282,691.440540522337,2164.3268822431564,9,211.4,534.0,0
Delhi,2023,25.605647058823607,62,7.000000000000003,41,766.5650085549755,68.06170791924079,618.2613580226898,889.5723502635956,7,113.1,258.7,4.5
Goa,2023,77.98655948971583,100,67,95.00000000000006,2434.965266524151,321.4686518379266,1518.2284688949585,3069.663192242384,7,194.5,1431.3,0.5
Gujarat,2023,55.707985384757315,100,32.99999999999986,80,798.4977174647357,293.5374687510566,174.96343928575516,2283.74675989151,9,189.4,440.5,0.0
Haryana,2023,14.15227656716817,85,3,20.000000000000004,786.8163236425123,317.84620199673975,479.3688694238663,2145.9112305641174,7,117.8,282.3,3.3
