state_name,year,surface_water_mean,surface_water_max,surface_water_p25,surface_water_p75,rainfall_annual_mm,rainfall_stddev,rainfall_min,rainfall_max,dry_months_count,rainfall_variability_cv,wettest_month_mm,driest_month_mm
Andaman and Nicobar,2022,91.53248285939105,100,90.00000000000009,96.99999999999996,3072.6445732938205,769.4937236777674,1656.151329124117,4636.355831086636,1,64.9,565.8,45.0
Andhra Pradesh,2022,58.370775230297,100,34.99999999999993,84.99999999999996,1240.2194897611635,298.5919847347102,439.43047371151624,2131.6355359703302,6,97.3,322.1,2.2
Arunachal Pradesh,2022,46.21620972146465,91,29.000000000000014,62.00000000000001,2551.3711504564853,534.5729280924234,1571.4966546297073,4668.153166055679,3,81.9,608.8,8.6
Assam,2022,46.037600007443444,99,32.99999999999992,59.99999999999992,2328.635974392105,507.27482041033966,1235.102111428976,3986.3713340759277,4,87.7,572.4,6.6
Bihar,2022,33.336726170531406,96,13.999999999999662,49.000000000000064,1171.357344579303,391.2600613639919,708.6648980975151,2916.2949075102806,6,101.5,259.9,0.0
Chandigarh,2022,79.94269340974212,90,84,90,1042.297893252802,51.44429622974767,986.2329127318226,1123.113732140977,7,107.2,306.8,0
Chhattisgarh,2022,57.19927364274973,99,36.00000000000014,80.00000000000001,1461.8155905563353,173.63355529203264,954.5300456285477,2003.822974205017,7,130.6,507.2,2.9
Dadra and Nagar Haveli,2022,79.59831522943914,98,73,92,2700.04148266531,133.09730737786472,2379.2941160202026,2972.817727327347,7,153.9,1137.1,0
Daman and Diu,2022,75.48324412380721,100,61.999999999999986,97.99999999999999,1021.0635471195792,642.4698568563224,842.9828968644142,2902.693391084671,8,169.6,494.5,0
Delhi,2022,25.605647058823607,62,7.000000000000003,41,725.0960218451613,47.34381605016154,644.1992356181145,819.5261003454298,6,110.9,196.3,0
Goa,2022,77.98655948971583,100,67,95.00000000000006,3273.273915957569,283.34751875788044,2313.083215981722,3852.0597978904843,5,132.6,1124.8,0.5
Gujarat,2022,55.707985384757315,100,32.99999999999986,80,983.95133128868,389.5763473879345,232.67221973929554,2945.261420160532,8,174.2,486.2,0.0
Haryana,2022,14.15227656716817,85,3,20.000000000000004,725.2395375114487,243.73060925907325,348.3517541140318,1675.1964697167277,8,120.6,239.8,0.1
Himachal Pradesh,2022,75.7946661208992,100,64,94.99999999999997,1008.3866513989673,534.509196689068,164.31176532059908,3045.1151760816574,7,104.2,274.7,7.7
Jharkhand,2022,56.63282967495069,100,32.99999999999993,84,1136.7600270209214,136.0884255419763,792.3726629018784,1466.3583595752716,6,101.9,286.0,0.3
Karnataka,2022,65.93360699944083,100,48.000000000000206,87.99999999999997,1403.40305836807,971.6175736831686,439.43047371151624,4669.562094986439,5,92.9,317.7,0.5
Kerala,2022,78.60981693278472,100,71,96.99999999999999,3269.902800847363,707.0191171704242,1152.8290976658463,4475.433368444443,2,99.1,977.3,14.0
Lakshadweep,2022,97.74577362743521,100,96.99999999999997,98.99999999999997,2480.4683905604165,396.16841639363673,1933.2854023948312,2946.811178535223,4,100.4,691.0,6.7
Madhya Pradesh,2022,60.67324040385118,100,42.99999999999992,80.99999999999999,1445.9329738872916,364.8826282444753,675.7591654694406,3725.4920364171267,7,140.7,481.2,0.9
Maharashtra,2022,66.92305062536217,100,49.99999999999987,87.99999999999997,1417.1384658429326,579.8921387138494,628.5973896384239,3695.438673019409,7,126.0,461.7,3.4
Manipur,2022,51.116024174548286,91,30.999999999999996,71.99999999999999,1585.0721487042074,252.16586151974863,1203.989976644516,2605.5084450244904,5,88.0,390.2,8.1
Meghalaya,2022,45.30239605355366,95,21.000000000000018,67.00000000000003,2864.6840456518626,613.7897579745369,1552.9581890553236,4981.213025927544,5,92.1,714.8,2.7
Mizoram,2022,34.768395485069256,72,15,52,1983.3567421248508,351.19179600266517,1333.6370009183884,2895.4437459111214,5,92.4,467.0,12.9
Nagaland,2022,61.140856504971964,89,48,84.99999999999999,1918.2637647116878,330.4972629598783,1340.2432779073715,2636.5914474725723,4,77.5,378.0,10.1
Orissa,2022,73.49597399232968,100,59.00000000000015,96.00000000000009,1433.1827933164236,141.09225723632218,996.2886189222336,1928.6833869218826,6,114.3,440.5,3.0
Puducherry,2022,75.64958936253423,100,66.00000000000001,93,1971.591278804727,1168.2848244404368,1071.4284892082214,4073.8850932717323,3,74.7,394.5,16.2
Punjab,2022,39.48078186597076,97,14,61.999999999999986,831.8390483286304,284.06490978694603,329.46955622988753,2128.573566198349,7,132.3,333.0,2.3
Rajasthan,2022,50.90322829671602,100,24.00000000000024,78.00000000000001,712.1277488135966,303.3494731359211,271.0966429710388,2624.655847027898,9,174.5,341.6,0.0
Sikkim,2022,82.36272482943754,100,77.00000000000001,96,1260.5557350480683,463.9581769755407,486.41909819841385,2398.332916200161,7,108.4,305.5,0.4
Tamil Nadu,2022,51.601937791957006,100,22.000000000000064,84.00000000000001,1292.8996479084465,342.1636279826083,548.8749953412357,3094.3326669335365,3,58.8,200.3,14.3
